Mon. Aug. 24, 2020             LANDSAT 5                 Time: 21:49
                         Image Assessment System
                           GCP Residual Report
----------------------------------------------------------------------------
WOID: L2            Path/Row: 021 / 040

L0R Reference Image: L51GNC1010129160100_HDF.202250838
Acquisition Date: May 09, 2010

Band Number:  5

GLS date for each WRS-2 path/row used:
Path  Row   Date
021   039   10-15-2001, 01-31-2015
021   040   10-15-2001, 11-15-2015
022   039   09-17-2000, 11-22-2015
022   040   10-01-1999, 02-07-2015


Point_ID         Latitude  Longitude    Height       Across    Along    Residual  Residual
                                                      Scan      Scan      In y      in x
                                                    Residual  Residual    dir       dir
                   (deg)     (deg)     (meters)     (meters)  (meters)  (meters)  (meters)

0210400354_01   29.345557  -89.610325   -23.943      -2.833     0.313    -2.845    -0.198
0210400355_01   29.265471  -89.152426   -24.000      -0.162     3.112    -0.715     3.034
0210400359_01   29.515734  -89.650648   -22.679      -1.507    -4.456    -0.686    -4.656
0210400360_01   29.127740  -89.165630   -20.000      -3.824     0.969    -3.937     0.271
0210400362_01   29.032069  -89.182378   -23.296       3.367    -1.663     3.611    -1.035
0210400363_01   29.228904  -89.436483   -21.195       2.555    -0.150     2.542     0.309
0210400367_01   29.569079  -89.691950   -25.630       0.539    -2.261     0.935    -2.129
0210400371_01   29.048630  -89.317068   -23.000      -2.371    -4.266    -1.571    -4.622
0210400373_01   29.379720  -89.343371   -22.000       6.906     0.094     6.780     1.326
0210400376_01   29.292781  -89.346862   -23.000       1.099    -4.285     1.848    -4.022
0210400377_01   29.750187  -89.714086   -27.920       3.412    -4.919     4.239    -4.234
0210400378_01   29.618138  -89.751760   -21.271       3.853     0.622     3.682     1.300
0210400380_01   29.625608  -89.656288   -18.156      -6.143     3.444    -6.663     2.294
0210400382_01   29.372984  -89.712755   -19.702       1.049     2.678     0.553     2.824
0210400383_01   29.599561  -89.697082   -17.424      -0.876     0.765    -0.999     0.597
0210400384_01   29.259774  -89.282292   -23.000       3.579     0.607     3.414     1.236
0210400386_01   29.225668  -89.251613   -22.000       1.317     2.384     0.870     2.582
0210400391_01   29.435641  -89.569399   -21.038       0.836     1.527     0.549     1.653
0210400392_01   29.766123  -89.581180   -19.914      -0.259    -0.461    -0.173    -0.500
0210400394_01   29.541617  -89.575486   -24.020      -0.754     1.067    -0.933     0.916
0210400397_01   29.337329  -89.258377   -22.000       0.995     2.828     0.474     2.961
0210400398_01   29.563053  -89.736026   -19.993       1.992    -0.657     2.078    -0.292
0210400399_01   29.312543  -89.345851   -24.000       0.928     1.667     0.615     1.807
0210400402_01   29.120750  -89.212653   -24.000       0.394     2.271    -0.018     2.306
0210400403_01   29.129176  -89.143161   -20.000       3.214     5.789     2.128     6.271
0210400404_01   29.304410  -89.187865   -22.000      -0.445    -1.605    -0.151    -1.659
0210400405_01   29.647055  -89.509674   -21.029      -2.288    -2.427    -1.818    -2.797
0210400412_01   29.282399  -89.382212   -23.000       4.403    -0.489     4.421     0.305
0210400413_01   29.264827  -89.191659   -26.000      -0.335    -4.906     0.547    -4.889
0210400415_01   29.157428  -89.154535   -22.000      -1.449    -0.411    -1.352    -0.663
0210400416_01   29.094458  -89.198532   -24.000      -0.587     0.643    -0.693     0.528
0210400421_01   29.595348  -89.717708   -19.095      -1.146    -0.991    -0.951    -1.181
0210400423_01   29.155601  -89.265495   -21.000      -0.616    -0.457    -0.525    -0.560
0210400425_01   29.685321  -89.602666   -21.948       0.358     0.911     0.189     0.961
0210400426_01   29.420909  -89.589430   -21.892      -4.304    -0.648    -4.121    -1.407
0210400427_01   29.674060  -89.528639   -18.820      -3.959    -1.248    -3.674    -1.935
0210400429_01   29.763430  -89.676020   -22.258      -1.910     1.920    -2.224     1.550
0210400432_01   29.397043  -89.562898   -27.670       2.095     0.697     1.937     1.060
0210400433_01   29.548213  -89.693246   -17.479      -2.234     1.923    -2.543     1.494
0210400434_01   29.055715  -89.183535   -23.000       0.109     2.471    -0.335     2.452
0210400438_01   29.732853  -89.648844   -16.046       0.749     2.230     0.338     2.328
0210400439_01   29.329560  -89.301448   -24.000       0.723    -3.712     1.375    -3.525
0210400440_01   29.345576  -89.329922   -23.000       0.301     1.866    -0.037     1.891
0210400444_01   29.125825  -89.281806   -23.000      -0.627     0.157    -0.645     0.043
0210400446_01   29.214521  -89.138756   -22.000       3.866     5.385     2.842     5.990
0210400451_01   29.602965  -89.675481   -15.420      -0.099     1.405    -0.349     1.366
0210400452_01   29.222962  -89.297823   -22.000       4.444     2.962     3.845     3.709
0210400454_01   29.038733  -89.212732   -24.000       5.171     4.619     4.264     5.470
0210400456_01   29.234424  -89.213547   -25.000       1.297    -0.581     1.380    -0.341
0210400457_01   29.413955  -89.542907   -20.729       3.416     1.636     3.070     2.220
0210400459_01   29.294711  -89.281822   -21.000      -1.546    -2.112    -1.145    -2.355
0210400460_01   29.638731  -89.659404   -15.194       1.057     0.317     0.984     0.500
0210400464_01   29.118775  -89.064340   -23.000       2.844     3.931     2.096     4.377
0210400466_01   29.311606  -89.306595   -24.000      -0.919    -0.494    -0.817    -0.650
0210400467_01   29.478312  -89.587484   -23.843      -4.009    -1.813    -3.622    -2.500
0210400468_01   29.658896  -89.666436   -17.645      -0.353     0.895    -0.508     0.818
0210400470_01   29.441299  -89.694138   -20.113       1.693     2.226     1.268     2.493
0210400473_01   29.661960  -89.593728   -23.456      -2.601     2.134    -2.942     1.637
0210400475_01   29.348002  -89.283641   -23.000      -0.521     1.983    -0.867     1.859
0210400476_01   29.567473  -89.664649   -17.641      -3.590     0.326    -3.592    -0.320
0210400477_01   29.526100  -89.689259   -18.642       0.021     2.033    -0.343     2.005
0210400479_01   29.054735  -89.338466   -22.000       5.379    -1.249     5.518    -0.268
0210400483_01   29.189843  -89.191912   -24.000       2.638     1.281     2.368     1.732
0210400484_01   29.216087  -89.159453   -22.000      -0.925    -1.801    -0.588    -1.938
0210400485_01   28.951284  -89.402922   -22.000      -4.964    -5.071    -3.979    -5.879
0210400487_01   29.083724  -89.176116   -25.000      -1.838    -0.958    -1.637    -1.271
0210400488_01   29.318972  -89.224007   -23.000       6.365    -3.606     6.909    -2.412
0210400490_01   29.105241  -89.234201   -22.000      -2.964    -3.982    -2.205    -4.448
0210400492_01   29.764755  -89.623624   -18.562       6.946     2.946     6.311     4.139
0210400493_01   29.624928  -89.633623   -13.135      -3.643     1.817    -3.911     1.139
0210400494_01   29.230042  -89.183201   -25.000      -5.598    -5.502    -4.526    -6.415
0210400496_01   29.088562  -89.260036   -22.000      -2.956    -1.300    -2.677    -1.807
0210400500_01   29.590965  -89.612026   -21.133      -0.363     2.331    -0.774     2.230
0210400502_01   29.168095  -89.181284   -24.000      -4.128     2.428    -4.497     1.653
0210400503_01   29.702155  -89.695155   -17.048      -0.803    -1.256    -0.566    -1.380
0210400504_01   29.547285  -89.658538   -14.469      -2.871     0.227    -2.867    -0.289
0210400505_01   29.059613  -89.259094   -22.000      -1.351     1.081    -1.523     0.822
0210400506_01   29.482679  -89.627194   -22.826      -0.536    -0.582    -0.424    -0.668
0210400507_01   29.331263  -89.674892   -22.048      -1.609     1.977    -1.938     1.659
