Mon. Aug. 24, 2020             LANDSAT 5                 Time: 20:22
                         Image Assessment System
                           GCP Residual Report
----------------------------------------------------------------------------
WOID: L2            Path/Row: 021 / 040

L0R Reference Image: L51EDC1010145160100_HDF.202250806
Acquisition Date: May 25, 2010

Band Number:  5

GLS date for each WRS-2 path/row used:
Path  Row   Date
021   039   10-15-2001, 01-31-2015
021   040   10-15-2001, 11-15-2015
022   039   09-17-2000, 11-22-2015
022   040   10-01-1999, 02-07-2015


Point_ID         Latitude  Longitude    Height       Across    Along    Residual  Residual
                                                      Scan      Scan      In y      in x
                                                    Residual  Residual    dir       dir
                   (deg)     (deg)     (meters)     (meters)  (meters)  (meters)  (meters)

0210400256_01   29.432981  -89.666063   -17.641      -4.332    -0.861    -4.109    -1.621
0210400257_01   29.555069  -89.728665   -19.124      -0.810    -4.825     0.066    -4.894
0210400258_01   29.343748  -89.355823   -23.000       0.373    -1.760     0.682    -1.666
0210400259_01   29.725515  -89.609605   -16.315       2.299     0.908     2.101     1.304
0210400260_01   29.523996  -89.671559   -25.596      -0.880    -0.751    -0.731    -0.896
0210400263_01   29.768887  -89.661602   -24.594       2.293    -2.844     2.767    -2.391
0210400265_01   29.108582  -89.161534   -25.000       0.034    -0.275     0.082    -0.264
0210400266_01   29.713600  -89.633504   -22.199       5.368    -2.126     5.665    -1.135
0210400267_01   29.497921  -89.715418   -23.052       4.020    -0.623     4.069     0.105
0210400269_01   29.284160  -89.343335   -21.000      -5.705    -6.679    -4.421    -7.592
0210400270_01   29.423203  -89.570674   -20.604      -1.776    -0.032    -1.741    -0.348
0210400273_01   29.372160  -89.752494   -18.183       1.514    -3.298     2.081    -2.976
0210400275_01   29.754195  -89.609697   -22.521       3.389     0.952     3.167     1.542
0210400277_01   29.338640  -89.259428   -22.332       2.105     2.738     1.583     3.071
0210400280_01   29.209987  -89.151004   -23.950      -5.534    -2.833    -4.941    -3.776
0210400281_01   29.659791  -89.612597   -20.849      -4.725     5.503    -5.634     4.575
0210400283_01   29.209114  -89.201561   -24.000       3.237    -1.596     3.471    -0.992
0210400285_01   29.687611  -89.465816   -22.762       5.369     5.866     4.236     6.733
0210400286_01   29.594406  -89.683661   -18.704       0.812     1.825     0.474     1.941
0210400287_01   29.404069  -89.520816   -22.069       3.799     1.617     3.451     2.270
0210400292_01   29.751657  -89.656191   -20.336      -2.679     2.167    -3.024     1.655
0210400294_01   29.567375  -89.683876   -23.049      -0.603     0.458    -0.675     0.344
0210400296_01   29.709679  -89.475592   -26.232      -2.258    -4.173    -1.476    -4.510
0210400297_01   29.431822  -89.542720   -20.457      -1.569     3.643    -2.195     3.307
0210400298_01   29.314521  -89.686808   -23.219       0.636     1.744     0.315     1.831
0210400301_01   29.174331  -89.142603   -22.934       3.985    -4.008     4.638    -3.233
0210400303_01   29.662016  -89.658163   -18.541       1.596    -0.867     1.726    -0.568
0210400304_01   29.598917  -89.621788   -17.249      -0.733    -6.251     0.397    -6.284
0210400305_01   29.422333  -89.750833   -18.186      -4.127     2.159    -4.448     1.389
0210400309_01   29.401413  -89.751555   -18.334       3.996     4.590     3.114     5.232
0210400310_01   29.663160  -89.709006   -19.254       1.313     0.702     1.168     0.926
0210400312_01   29.272542  -89.373016   -22.799       5.188     0.097     5.089     1.022
0210400314_01   29.718050  -89.685040   -23.417       0.531    -0.974     0.698    -0.864
0210400315_01   29.506118  -89.765710   -21.649       2.178    -2.691     2.626    -2.261
0210400316_01   29.260452  -89.306408   -23.000      -5.551    -4.333    -4.689    -5.256
0210400317_01   29.290047  -89.218377   -23.844       3.209    -0.669     3.278    -0.086
0210400318_01   29.694297  -89.520866   -22.034      -3.153    -1.891    -2.765    -2.424
0210400320_01   29.459496  -89.744391   -19.704       0.827     0.550     0.717     0.690
0210400321_01   29.341864  -89.634386   -26.019      -5.568    -2.416    -5.049    -3.372
0210400322_01   29.110313  -89.237663   -21.387      -3.723    -4.674    -2.829    -5.265
0210400323_01   29.408489  -89.683388   -23.142       0.873     1.272     0.633     1.408
0210400324_01   29.706945  -89.602991   -20.447       4.605     3.387     3.928     4.155
0210400325_01   29.049404  -89.287207   -23.000       1.047     4.426     0.240     4.544
0210400328_01   29.121709  -89.084449   -23.000       3.081     6.487     1.873     6.935
0210400329_01   29.497301  -89.624914   -20.833       3.996     2.207     3.539     2.886
0210400332_01   29.710263  -89.656026   -16.960       0.462     0.386     0.386     0.463
0210400336_01   29.374109  -89.657499   -25.252      -0.339     2.652    -0.807     2.551
0210400337_01   29.410536  -89.649731   -23.252      -0.485    -0.454    -0.395    -0.533
0210400338_01   29.713607  -89.523268   -23.417       6.171    -2.403     6.504    -1.264
0210400339_01   29.469036  -89.714349   -20.492      -0.196     0.645    -0.308     0.601
0210400340_01   29.478840  -89.587800   -19.957       0.102    -3.390     0.707    -3.319
0210400341_01   29.285861  -89.193683   -23.001       0.486    -0.208     0.516    -0.117
0210400343_01   29.625965  -89.727779   -28.158       0.423    -1.750     0.730    -1.647
0210400344_01   29.618635  -89.717098   -18.350      -0.338     0.474    -0.417     0.407
0210400345_01   29.106891  -89.265058   -23.000      -1.542    -4.701    -0.677    -4.902
0210400347_01   29.705073  -89.533124   -23.939      -0.553    -2.279    -0.137    -2.342
0210400348_01   29.761744  -89.529643   -24.857      -5.963     5.159    -6.791     4.015
0210400350_01   29.459089  -89.615448   -22.271       6.812    -2.006     7.065    -0.759
0210400352_01   29.705533  -89.714433   -26.817      -1.112    -0.048    -1.086    -0.245
0210400354_01   29.345557  -89.610325   -23.943      -2.303    -1.989    -1.911    -2.369
0210400355_01   29.265471  -89.152426   -24.000      -0.693     0.179    -0.713     0.052
0210400359_01   29.515734  -89.650648   -22.679       1.954    -2.947     2.451    -2.553
0210400360_01   29.127740  -89.165630   -20.000      -3.224     0.376    -3.240    -0.205
0210400363_01   29.228904  -89.436483   -21.195       2.321    -1.291     2.516    -0.856
0210400364_01   29.725112  -89.546664   -20.842      -2.336    -1.016    -2.117    -1.416
0210400367_01   29.569079  -89.691950   -25.630       0.736    -1.539     1.000    -1.384
0210400371_01   29.048630  -89.317068   -23.000      -0.960    -3.236    -0.366    -3.357
0210400376_01   29.292781  -89.346862   -23.000       3.000    -3.853     3.642    -3.257
0210400377_01   29.750187  -89.714086   -27.920       1.876    -3.394     2.454    -3.006
0210400378_01   29.618138  -89.751760   -21.271       2.032     1.642     1.708     1.979
0210400379_01   29.506703  -89.739437   -19.364      -4.022    -2.690    -3.477    -3.365
0210400380_01   29.625608  -89.656288   -18.156      -4.597     2.588    -4.988     1.728
0210400382_01   29.372984  -89.712755   -19.702       2.102     2.992     1.535     3.322
0210400383_01   29.599561  -89.697082   -17.424      -0.795     0.887    -0.941     0.731
0210400384_01   29.259774  -89.282292   -23.000       3.019    -5.170     3.896    -4.549
0210400385_01   29.709788  -89.455413   -25.176      -0.018    -2.677     0.462    -2.638
0210400386_01   29.225668  -89.251613   -22.000       0.960     0.678     0.824     0.839
0210400391_01   29.435641  -89.569399   -21.038       0.034     0.810    -0.111     0.804
0210400394_01   29.541617  -89.575486   -24.020       2.093     0.226     2.020     0.597
0210400397_01   29.337329  -89.258377   -22.000       1.655     2.646     1.156     2.900
0210400398_01   29.563053  -89.736026   -19.993       0.489    -0.093     0.499    -0.004
0210400399_01   29.312543  -89.345851   -24.000      -0.747     0.425    -0.811     0.286
0210400402_01   29.120750  -89.212653   -24.000       0.250     3.058    -0.300     3.055
0210400403_01   29.129176  -89.143161   -20.000       2.061     6.948     0.787     7.207
0210400404_01   29.304410  -89.187865   -22.000      -0.618    -1.707    -0.304    -1.790
0210400405_01   29.647055  -89.509674   -21.029       0.533     2.590     0.062     2.645
0210400408_01   29.731916  -89.586817   -21.558      -1.688     0.729    -1.791     0.417
0210400412_01   29.282399  -89.382212   -23.000       4.264     0.911     4.035     1.658
0210400413_01   29.264827  -89.191659   -26.000       3.263    -6.184     4.317    -5.503
0210400415_01   29.157428  -89.154535   -22.000      -3.416     3.502    -3.987     2.837
0210400416_01   29.094458  -89.198532   -24.000      -0.243     2.012    -0.598     1.937
0210400419_01   29.517723  -89.662125   -20.542      -3.414    -1.089    -3.165    -1.680
0210400421_01   29.595348  -89.717708   -19.095      -0.066    -0.608     0.044    -0.610
0210400423_01   29.155601  -89.265495   -21.000       1.115    -0.288     1.149    -0.084
0210400425_01   29.685321  -89.602666   -21.948       1.750     0.804     1.580     1.104
0210400426_01   29.420909  -89.589430   -21.892      -1.382     0.368    -1.426     0.116
0210400427_01   29.674060  -89.528639   -18.820       0.226    -0.054     0.233    -0.012
0210400428_01   29.755186  -89.530672   -26.225      -0.243     0.011    -0.241    -0.032
0210400429_01   29.763430  -89.676020   -22.258      -2.433     1.713    -2.700     1.253
0210400431_01   29.375988  -89.415897   -18.460      -2.983    -4.052    -2.211    -4.520
0210400432_01   29.397043  -89.562898   -27.670       3.600     1.191     3.331     1.816
0210400433_01   29.548213  -89.693246   -17.479      -1.937    -1.440    -1.648    -1.762
0210400434_01   29.055715  -89.183535   -23.000       1.869     2.293     1.430     2.591
0210400436_01   29.413271  -89.522170   -24.895       2.857     5.292     1.866     5.719
0210400438_01   29.732853  -89.648844   -16.046       2.460     1.578     2.140     1.992
0210400439_01   29.329560  -89.301448   -24.000      -0.792    -4.238    -0.022    -4.312
0210400440_01   29.345576  -89.329922   -23.000      -1.082     0.816    -1.210     0.610
0210400442_01   29.317028  -89.258548   -23.000       4.833     4.303     3.988     5.098
0210400444_01   29.125825  -89.281806   -23.000       0.105    -0.231     0.145    -0.208
0210400445_01   29.668128  -89.554828   -25.708       0.656    -1.012     0.827    -0.879
0210400446_01   29.214521  -89.138756   -22.000       4.149     5.616     3.079     6.269
0210400451_01   29.602965  -89.675481   -15.420       0.293     0.768     0.152     0.808
0210400454_01   29.038733  -89.212732   -24.000       2.921     3.452     2.258     3.920
0210400456_01   29.234424  -89.213547   -25.000       0.697    -0.747     0.820    -0.610
0210400457_01   29.413955  -89.542907   -20.729      -0.947     2.234    -1.331     2.030
0210400459_01   29.294711  -89.281822   -21.000      -2.115     1.542    -2.357     1.140
0210400460_01   29.638731  -89.659404   -15.194       1.694     0.136     1.644     0.437
0210400464_01   29.118775  -89.064340   -23.000       3.531     4.635     2.647     5.193
0210400466_01   29.311606  -89.306595   -24.000      -1.587    -1.233    -1.341    -1.497
0210400467_01   29.478312  -89.587484   -23.843      -0.725    -1.969    -0.361    -2.067
0210400468_01   29.658896  -89.666436   -17.645      -0.344     0.242    -0.381     0.178
0210400470_01   29.441299  -89.694138   -20.113       1.808     2.144     1.397     2.434
0210400471_01   29.203860  -89.244659   -24.000      -5.958    -6.639    -4.677    -7.598
0210400473_01   29.661960  -89.593728   -23.456      -1.865    -0.036    -1.829    -0.368
0210400475_01   29.348002  -89.283641   -23.000      -1.071     1.610    -1.341     1.393
0210400476_01   29.567473  -89.664649   -17.641      -3.507     1.020    -3.634     0.379
0210400477_01   29.526100  -89.689259   -18.642      -1.322    -0.926    -1.135    -1.147
0210400479_01   29.054735  -89.338466   -22.000       5.283    -1.914     5.543    -0.940
0210400483_01   29.189843  -89.191912   -24.000       6.702     3.361     5.996     4.505
0210400484_01   29.216087  -89.159453   -22.000       0.957    -5.385     1.904    -5.128
0210400485_01   28.951284  -89.402922   -22.000      -3.085    -0.835    -2.887    -1.373
0210400486_01   29.530343  -89.626252   -23.265       1.369    -2.082     1.720    -1.805
0210400487_01   29.083724  -89.176116   -25.000      -0.695    -0.188    -0.650    -0.309
0210400490_01   29.105241  -89.234201   -22.000      -0.407    -1.554    -0.123    -1.602
0210400493_01   29.624928  -89.633623   -13.135      -2.282     3.496    -2.870     3.035
0210400494_01   29.230042  -89.183201   -25.000       0.100    -2.982     0.631    -2.917
0210400496_01   29.088562  -89.260036   -22.000      -5.752    -1.904    -5.321    -2.901
0210400500_01   29.590965  -89.612026   -21.133       0.397     3.763    -0.281     3.776
0210400503_01   29.702155  -89.695155   -17.048      -0.352    -0.900    -0.185    -0.949
0210400504_01   29.547285  -89.658538   -14.469      -0.368     1.036    -0.547     0.954
0210400505_01   29.059613  -89.259094   -22.000      -0.423     2.107    -0.793     1.998
0210400506_01   29.482679  -89.627194   -22.826       0.523     0.186     0.482     0.277
0210400507_01   29.331263  -89.674892   -22.048      -1.392     1.608    -1.658     1.335
0210400508_01   29.239672  -89.318577   -24.000       2.089    -4.644     2.886    -4.198
